Strouse Cat ID,Item Name/Number,Vendor Name/Code,Primary Units Type,Primary Units Type ID,Department,Location,Track Landed Cost,Costing Method,Cost Category,Purchase Description,Use Bin,Purchase Price,Vendor 1 Name,Vendor 1 Id,Vendor 1 Subsidiary,Vendor 1 Preferred,Vendor 1 Purchase Price,Bin Number,Preferred (Per Location),COGS Account,Asset Account,Income Account,Tax Schedule
23729,CatID-23729,,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,CSM - Cartons - Universal - Fishburne Tabs ,TRUE,0.0546,"Fishburne May, LLC",4194,The Strouse Corporation,TRUE,0.0546,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
23730,CatID-23730,,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,CSM - Labels - Universal - #122985,TRUE,0.63225,"Fishburne May, LLC",4194,The Strouse Corporation,TRUE,0.63225,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
23731,CatID-23731,,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,CSM - Wafer Seals - Uline S-5503,TRUE,0.023972399,"Fishburne May, LLC",4194,The Strouse Corporation,TRUE,0.023972399,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
