Strouse Cat ID,Item Name/Number,Vendor Name/Code,Primary Units Type,Primary Units Type ID,Department,Location,Track Landed Cost,Costing Method,Cost Category,Purchase Description,Use Bin,Purchase Price,Vendor 1 Name,Vendor 1 Id,Vendor 1 Subsidiary,Vendor 1 Preferred,Vendor 1 Purchase Price,Bin Number,Preferred (Per Location),COGS Account,Asset Account,Income Account,Tax Schedule
21672,RE-18-W3,RE-18,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,3 mil clear PET/RE-18/40# liner,TRUE,0.052632,3 Sigma Corporation,3610,The Strouse Corporation,TRUE,0.052632,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21673,32A71111-C-W4,32A71111-C,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,HIPS RL 0.015 CTS CTS Opaque White 105 MT/MT - Digihips Dg,TRUE,0,Polymershapes - Jessup,3375,The Strouse Corporation,TRUE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21676,1512-W24,1512,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,Clear Protecrite  4.6 mil Polypropylene with rubber adhesive,TRUE,0.206,American Biltrite,3238,The Strouse Corporation,TRUE,0.206,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21677,ACFBL44-19002 STD,ACFBL44-19002 STD,"Each (Use for Boxes, Bags, Cores, Cases)",3,Operations,Strouse-HQ,,Average,Default Cost Category,LED Pantone 288U,TRUE,,Interactive Inks & Coatings,3366,The Strouse Corporation,TRUE,,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21682,3426A-W12.75,3426A,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,Polyken 3426A Medical Acrylic Transfer Tape,TRUE,0.3954896,Berry Global,3254,The Strouse Corporation,TRUE,0.3954896,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21683,EKF BHB-W6,EKF BHB,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,CSM - EKF BHB reagent membrane,TRUE,0,StanBio Laboratory LP EKF Diagnostics,3629,The Strouse Corporation,TRUE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21684,9952-W5,9952,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"9952, Polyester Tape, 11.2 mils",TRUE,0.521351687,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,0.521351687,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21686,9956-W45,9956,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"9956, Liner, 2.9 mil PET, C1S, Fluoropolymer",TRUE,3.004583333,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,3.004583333,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21689,401310-W58,401310,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"7.9NLYB-E @ 58.00"";250LY

",TRUE,1.292936,SWM International,3764,The Strouse Corporation,TRUE,1.292936,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21690,9948-W8.5 - CatID-21690,9948,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"9948,Tape,Clear Non woven, Medical",TRUE,0.578339721,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,0.578339721,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
