Model,Model Id,Occupancy,Occupancy Id,Make,Make Id,Type,Type Id,TypeDetail,TypeDetail2,Suspension,Suspension Id,Color,Color Id,Canopy Top Color,Canopy Top Color Id,Subitem of,Subitem of Id,Child Item,MSRP
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Graphite Matte,2,Black,3,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,Graphite Matte,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Black",16500.00
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Graphite Matte,2,Stone,4,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,Graphite Matte,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Stone",16500.00
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Mica Matte,3,Black,3,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,Mica Matte,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Black",16500.00
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Mica Matte,3,Stone,4,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,Mica Matte,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Stone",16500.00
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,White,4,Black,3,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,White,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Black",16500.00
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,White,4,Stone,4,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,White,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Stone",16500.00
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Aqua Blue,5,Black,3,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,Aqua Blue,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Black",16500.00
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Aqua Blue,5,Stone,4,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,Aqua Blue,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Stone",16500.00
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Moonstone,6,Black,3,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,Moonstone,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Black",16500.00
Concierge 4,2,4-PASS,2,Yamaha,1,ELECTRIC,2,FLA,4,Non-lifted,2,Moonstone,6,Stone,4,"Yamaha,Concierge 4,4-PASS,FLA,ELECTRIC,Non-lifted",2650,"Yamaha,Concierge 4,Moonstone,4-PASS,FLA,ELECTRIC,Non-lifted,CT_Stone",16500.00
