Manufacturing Work Center
300022 - EXTRUDE RUBBER
300082 - CUT RUBBER
300018 - TUMBLE RUBBER
400104 - MOLD
400999 - SINTER PTFE
400503 - MACHINE COMPLETE
400250 - TUMBLE PTFE
400996 - FINAL AUDIT
400998 - SCALE
400106 - MOLD
400103 - MOLD
400200 - SIZE/ROUND
400506 - MACHINE COMPLETE
400455 - BUTT CUT
400102 - MOLD
400404 - MACHINE OP 1
400150 - BOND RING
400992 - SAND BONDED RING
400403 - CUT BONDED RING
400111 - MOLD
400351 - MACHINE COMPLETE
400105 - MOLD
400352 - MACHINE COMPLETE
400101 - MOLD
400406 - MACHINE OP 1
400500 - MACHINE OP 2
400110 - MOLD
400100 - MOLD 200 TON
400402 - MACHINE OP 1
400461 - BUTT CUT
400456 - MACHINE OP 2
400502 - MACHINE COMPLETE
400458 - MANUAL WORK PTFE
400457 - MACHINE OP 2
400304 - MACHINE COMPLETE
400504 - MACHINE COMPLETE
400462 - SCARF CUT
400301 - MACHINE OP 1
400451 - Z CUT
400114 - MOLD
400994 - TUMBLE PTFE
400109 - MOLD
400306 - MACHINE COMPLETE
400750 - MACHINE OP 1
400600 - MACHINE COMPLETE
400490 - MANUAL WORK PTFE
400115 - MOLD
400201 - SINTER PTFE
400370 - BOWL SORT PTFE
400113 - MOLD
400453 - MACHINE OP 3
400452 - MACHINE OP 2
400470 - MACHINE OP 1
300008 - EXTRUDE RUBBER
400475 - MACHINE OP 3
400407 - MACHINE COMPLETE
400800 - CUT TO LENGTH ROD/TUBE
400480 - MACHINE OP 3
400507 - MACHINE COMPLETE
400107 - MOLD
400601 - INSTALL O-RING
499999 - OUTSOURCE-PRINTING
300013 - OBSOLETE-FLAG INSTRUCTION
300014 - POST CURE/RECURE RUBBER
300010 - CUT RUBBER
300001 - EXTRUDE RUBBER
300009 - SPECIAL CUT
300006 - OBSOLETE-ASSEMBLY HANDBUILD
300012 - OBSOLETE-PUNCH PRESS
300351 - CUT RUBBER
300062 - GRIND RUBBER
300042 - CURE RUBBER
300016 - STRIPE/MARKING
330141 - CURE RUBBER
300100 - PACKAGING-TUBE
330043 - CURE RUBBER
