Internal ID,Internal ID,Name,Legacy Vendor ID,Acount Number
2692,2692,BLICK ART MATERIALS,30059,30059
2693,2693,"BOEDEKER PLASTICS, INC.",41120,41120
2694,2694,BOSTWICK-BRAUN CO.,31393,31393
2695,2695,BRC RUBBER GROUP,33061,33061
2696,2696,"BRECHBUHLER SCALES, INC.",98786,98786
2697,2697,BREHOB COMPRESSOR,31926,31926
2698,2698,"BRENNTAG MID-SOUTH, INC.",30215,30215
2699,2699,BRUSKE PRODUCTS,32901,32901
2700,2700,BUCKEYE BUSINESS PRODUCTS INC.,30108,30108
2701,2701,BURLAN CORP.,31780,31780
2702,2702,BUYRITE SUPPLY COMPANY,40029,40029
2703,2703,C & H DISTRIBUTORS INC.,41610,41610
2706,2706,C&M FINISHING,32786,32786
2704,2704,C.D.S. INC.,32780,32780
2705,2705,"C.H. ROBINSON WORLDWIDE, INC.",30008,30008
2707,2707,CADTECH SEMINARS,32891,32891
2708,2708,CALIFORNIA FOOD MACHINERY,30179,30179
2709,2709,CAMERON MEMORIAL HOSPITAL,98332,98332
2710,2710,CAMERON OCCUPATIONAL HEALTH,30015,30015
2711,2711,CAMFIL USA INC.,30284,30284
2712,2712,CAMPBELL'S GARAGE INC.,42249,42249
2713,2713,CAPITAL PREMIUM FINANCE INC.,30306,30306
2714,2714,CARDINAL FLUID MANAGEMENT,32793,32793
2715,2715,CARDINAL SUPPLY INC.,31312,31312
2716,2716,CARLIN CONSTRACTION INC.,30213,30213
2717,2717,"CASSELL PLAN AUDITS, INC.",30376,30376
2718,2718,CB MANUFACTURING,"3,007,143,007",30071
2719,2719,CDI COMPLETE DRIVERS INC.,30150,30150
2720,2720,CDW DIRECT,30279,30279
2721,2721,"CEM  SUPPLY, INC.",31483,31483
2722,2722,CENTRAL SECURITY COMMUNICATION,"3,800,248,002",38002
2723,2723,CENTRAL SUPPLY - FT. WAYNE,30056,30056
2724,2724,CENTRAL TRANSPORT,30050,30050
2725,2725,"CERATIZIT USA, INC.",40000,40000
2726,2726,CHARLIE'S SPIDER FIGHTERS,30126,30126
2727,2727,CHEM TEC EQUIPMENT COMPANY,40062,40062
2728,2728,CHEMPOINT,30104,30104
2729,2729,CHEMREP,33040,33040
2730,2730,"CHEMREP, INC.",31065,31065
2731,2731,CHICAGO FITTINGS CORP,33051,33051
2732,2732,CHICAGO GASKET COMPANY,40045,40045
2733,2733,"CHRISTOPHER BRETZ, MD.",32485,32485
2734,2734,CIERRACOM SYSTEMS,33084,33084
2735,2735,CINCINNATI ABRASIVE SUPPLY CO.,30405,30405
2736,2736,CITICAPITAL,33019,33019
2737,2737,CLASSIC DIE SERVICES INC.,30253,30253
2738,2738,CLAYTON INDUSTRIES,31671,31671
2739,2739,CLEAN PRO,30043,30043
2740,2740,"CLEANING ONE, INC.",30238,30238
2741,2741,CLEAR LAKE ELECTRIC,31999,31999
2742,2742,CLEAR RATE COMMUNICATIONS,30372,30372
2743,2743,"CLEMENT COMMUNICATIONS, INC.",31563,31563
2744,2744,CLEMMER MOVING & STORAGE INC,42869,42869
2745,2745,CLEVELAND COMPONENTS,98396,98396
2746,2746,CLEVELAND MOTION CONTROLS,30095,30095
2747,2747,CNC PATTERN INC.,33009,33009
2748,2748,CNC REPAIR AND SALES,98483,98483
2749,2749,COLORADO PLASTIC PRODUCTS INC,43035,43035
2750,2750,COLUMBIA INDUSTRIAL PRODUCTS,30821,30821
2751,2751,COLUMBIA PIPE-CHICAGO,30137,30137
2752,2752,COLUMBUS GASKET,33057,33057
2753,2753,COMBINED INSURANCE CO. OF AMER,"3,003,140,034",30031
2754,2754,COMCAST,30900,30900
2755,2755,COMMUNITY BUSINESS EQUIPMENT,43082,43082
2756,2756,COMMUNITY HOSPITAL OF NOBLE CT,43021,43021
2757,2757,COMPBENEFITS INSURANCE CO.,30094,30094
2758,2758,COMPDATA SURVEYS,33049,33049
2759,2759,COMPOUND USA,43000,43000
2760,2760,COMPUWARE CORP.,30005,30005
2761,2761,CON-WAY TRANSPORTATION SERVICE,32919,32919
2762,2762,CONAIR FRANKLIN,31041,31041
2763,2763,CONAIR JETRO/GATTO,31662,31662
2764,2764,CONCRATE BY JAKE,31002,31002
2765,2765,CONSOLIDATED PLASTICS,31705,31705
2766,2766,CORNELL SUPPLY COMPANY,32702,32702
2767,2767,COUNCIL ON EDUCATION IN MGMT,32741,32741
2768,2768,COUNTRY FLOWERS & GIFTS,40003,40003
2769,2769,COVINGTON BOX & PACKAGING INC.,"3,115,541,155",31155
2770,2770,CREFORM CORPORATION,30388,30388
2771,2771,CRG PLASTIC INC.,41726,41726
2772,2772,CRI-TECH TECHNOLOGIES,31771,31771
2773,2773,CROCKER LIMITED,32783,32783
2774,2774,CROWE CHIZEK,"3,800,348,003",38003
2775,2775,CROWN BATTERY,30041,30041
2776,2776,CROWN CREDIT COMPANY,32515,32515
2777,2777,CROWN LIFT TRUCKS,31212,31212
2778,2778,CRYOGENIC INSTITUTE OF ENGLAND,98259,98259
2779,2779,CRYOGENIC INSTITUTE OF NEW,30384,30384
2780,2780,CT CORPORATION,30196,30196
2781,2781,CULLIGAN OF KENDALLVILLE,31571,31571
2782,2782,"CURBELL PLASTICS, INC.",30348,30348
2783,2783,CURRENT MECHANICAL,31341,31341
2784,2784,CURTIS INDUSTRIES,31768,31768
2785,2785,CUTLER-HAMMER INC.,43052,43052
2786,2786,"CUTTING TOOLS, INC.","3,124,641,246",31246
2787,2787,"CYBERCODERS, INC.",98253,98253
2788,2788,D & D ELECTRONICS,32759,32759
2789,2789,D H L GLOBAL FORWARDING,30020,30020
2790,2790,"D.A.S. SERVICES,INC.",30143,30143
2791,2791,"DAIKIN AMERICA, INC.",40071,40071
2792,2792,"DAMEN CARBIDE TOOL CO., INC.",30205,30205
2793,2793,DAMN FILTERS,30346,30346
2794,2794,DANAHER INDUSTRIAL CONTROLS,30012,30012
2795,2795,DARTEK COMPUTER SUPPLY,33075,33075
2796,2796,DATACOM MARKETING,41296,41296
2797,2797,DATASTREAM,32198,32198
2798,2798,DAVID BOWLING,40039,40039
2799,2799,DAVIS CONCRETE,32881,32881
2800,2800,"DAVIS STANDARD, LLC.",31802,31802
2801,2801,DAY EQUIPMENT CORP.,"3,125,241,252",31252
2802,2802,DE LAGE LANDEN FINANCIAL SER.,42857,42857
2803,2803,DEARBORN NATIONAL LIFE INS.CO.,30689,30689
2804,2804,"DECATUR DIAMOND, LLC.",30146,30146
2805,2805,DECOOK & ASSOCIATES,40028,40028
2806,2806,DELAWARE SECRETARY OF STATE,33150,33150
2807,2807,DELL COMPUTER CORP,30294,30294
2808,2808,DEPART. OF HOMELAND SECURITY,30100,30100
2809,2809,"DEPEW PLBG, HTG & ELEC, INC.",42247,42247
2810,2810,DEPT OF ED/FED LOAN SERVICE,30316,30316
2811,2811,DESCHNER CORPORATION,40035,40035
2812,2812,"DEVLIEG BULLARD II, INC.",40011,40011
2813,2813,DEWALD FLUID POWER,31225,31225
2814,2814,DEWALD FLUID POWER CO.,41225,41225
2815,2815,DIAGRAPH CORPORATION,31443,31443
2816,2816,"DIAL-X AUTOMATED EQUIPMENT,INC",42889,42889
2817,2817,DIAMOND TECH,42782,42782
2818,2818,"DIGITAL 2000, INC.",30084,30084
2819,2819,DILLON MFG. INC.,43030,43030
2820,2820,DIRECT BUSINESS PRODUCTS,31721,31721
2821,2821,DIRECT CAPITAL,30800,30800
2822,2822,DIRECT SAFETY,43060,43060
2823,2823,DIXON GROUP SERVICES,98329,98329
2824,2824,DJS INDUSTRIAL SUPPLY CO.,30170,30170
2825,2825,"DMCI BROADBAND, LLC",98459,98459
2826,2826,DMH USA,31763,31763
2827,2827,DODGE HEATING & COOLING,31762,31762
2828,2828,DOW CORNING STI MIDWEST,31648,31648
2829,2829,DP INDUSTRIAL ABRASIVES,33063,33063
2830,2830,DR. G.K. HEMMICK,43011,43011
2831,2831,DR. LUBRICANTS,30229,30229
2832,2832,DUNWORTH AUTOMOTIVE INC.,31499,31499
2833,2833,DUPONT C/O DELEWARE MKT SERV.,41256,41256
2834,2834,DYNA-MIX,32902,32902
2835,2835,DYNISCO INSTRUMENTS,30178,30178
2836,2836,E.C. KITZEL & SONS INC.,30387,30387
2837,2837,EAGLE LAWN CARE LLC & ASPHALT,30703,30703
2838,2838,EAGLE MOLD & TOOL,32905,32905
2839,2839,"ECCEZION, LTD",30082,30082
2840,2840,ECLIPSE ENGINEERING INC.,43085,43085
2581,2581,eCOMPRESSEDAIR,30175,30175
2841,2841,"ECOWATER SERVICE, INC",98342,98342
2842,2842,EDLO SALES & ENG.,"3,149,341,493",31493
2843,2843,EDMUNDS,30103,30103
2844,2844,EDS CANADA INC.,33074,33074
2845,2845,EI DUPONT,42821,42821
2846,2846,ELBEX,33083,33083
2847,2847,ELECTROMARK,30062,30062
2848,2848,ELECTRONIC SOLUTIONS ASSOCIATE,30136,30136
2849,2849,EMPIRE MANUFACTURING SYST.INC,30138,30138
2850,2850,EMPOWER HEALTH SERVICES,30957,30957
2851,2851,ENCO MFG. CO.,31262,31262
2852,2852,"ENERGY SERVICES, INC.",30287,30287
2853,2853,ENFLO CORP.,41105,41105
2854,2854,"ENS GROUP, INC.",30260,30260
2855,2855,EOS RENE BOER,30410,30410
2856,2856,EQUIPMENT HUB,98392,98392
2857,2857,"EQUIPMENT RESALE, INC.",30162,30162
2858,2858,ERS AUTOMATION INC.,30099,30099
2859,2859,ESCALA EQUIPMENT LLC.,98716,98716
2860,2860,ETC W/CAREERTRACK INC.,32836,32836
2861,2861,EXAIR CORPORATION,98314,98314
2862,2862,EXEGISTICS INC.,98254,98254
2863,2863,EXHIBIT SYSTEMS,32823,32823
2864,2864,"EXHIBIT SYSTEMS, INC.",32819,32819
2865,2865,EXTERMITAL TERMITE & PEST CONT,31178,31178
2866,2866,EXTINGUISHER CO. No.1,30331,30331
2867,2867,"EXTRUDED SILICONE PROD., INC.",30275,30275
2868,2868,FANUC AMERICA CORP.,30416,30416
2869,2869,FASTENAL INDUSTRIAL,30122,30122
2870,2870,"FCX PERFORMANCE, INC.",31068,31068
2871,2871,FEDERAL EXPRESS,30018,30018
2872,2872,FEDEX FREIGHT,40010,40010
