Quote/SalesOrder#,Quote/Order_Date,Sold To Customer Name,Address1,Address2,City,ST,Zip,Ship To Customer Name,Address1,Address2,City,ST,Zip,Sold To Customer_Code,Quote/PO Number,Salesperson_Code,Blank,ShipVia,Pcs,Weight,Terms,OrdedAmount,To Ship Amount,B/O Amount,Part Number,Description,Unit of Measure,Net Price,Ext Net Price,Tracking Number,Sub-Total Amount,COD Amount,Total Amount,End Of Line Marker
5563,2/22/2024,WENSCO-BELMONT                ,5760 SAFETY DRIVE             ,                              ,BELMONT        ,MI,49306,GRAND RAPIDS BRANCH           ,5760 SAFETY DR                ,ATTN: DENISE                  ,BELMONT        ,MI,49306,FWE1100000,          ,FDI4000,      ,BEST WAY  ,1,0," 2.0%,10 NET 60",1,1,0,7125-9000-027     ," 1""27:1/4V:3/4""17:1/4V:1/2""77 ",EAC,40.89,40.89,QUOTE                         ,40.89,0,40.89,E
5563,2/22/2024,WENSCO-BELMONT                ,5760 SAFETY DRIVE             ,                              ,BELMONT        ,MI,49306,GRAND RAPIDS BRANCH           ,5760 SAFETY DR                ,ATTN: DENISE                  ,BELMONT        ,MI,49306,FWE1100000,          ,FDI4000,      ,BEST WAY  ,1,0," 2.0%,10 NET 60",0,0,0,TEXT              ,                              ,   ,0,0,QUOTE                         ,40.89,0,40.89,E
5563,2/22/2024,WENSCO-BELMONT                ,5760 SAFETY DRIVE             ,                              ,BELMONT        ,MI,49306,GRAND RAPIDS BRANCH           ,5760 SAFETY DR                ,ATTN: DENISE                  ,BELMONT        ,MI,49306,FWE1100000,          ,FDI4000,      ,BEST WAY  ,1,0," 2.0%,10 NET 60",0,0,0,TEXT              ,************************      ,   ,0,0,QUOTE                         ,40.89,0,40.89,E
5563,2/22/2024,WENSCO-BELMONT                ,5760 SAFETY DRIVE             ,                              ,BELMONT        ,MI,49306,GRAND RAPIDS BRANCH           ,5760 SAFETY DR                ,ATTN: DENISE                  ,BELMONT        ,MI,49306,FWE1100000,          ,FDI4000,      ,BEST WAY  ,1,0," 2.0%,10 NET 60",0,0,0,TEXT              ,"-PER ROLL, MIN 1 ROLL         ",   ,0,0,QUOTE                         ,40.89,0,40.89,E
5563,2/22/2024,WENSCO-BELMONT                ,5760 SAFETY DRIVE             ,                              ,BELMONT        ,MI,49306,GRAND RAPIDS BRANCH           ,5760 SAFETY DR                ,ATTN: DENISE                  ,BELMONT        ,MI,49306,FWE1100000,          ,FDI4000,      ,BEST WAY  ,1,0," 2.0%,10 NET 60",0,0,0,TEXT              ,#NAME?,   ,0,0,QUOTE                         ,40.89,0,40.89,E
5563,2/22/2024,WENSCO-BELMONT                ,5760 SAFETY DRIVE             ,                              ,BELMONT        ,MI,49306,GRAND RAPIDS BRANCH           ,5760 SAFETY DR                ,ATTN: DENISE                  ,BELMONT        ,MI,49306,FWE1100000,          ,FDI4000,      ,BEST WAY  ,1,0," 2.0%,10 NET 60",0,0,0,TEXT              ,#NAME?,   ,0,0,QUOTE                         ,40.89,0,40.89,E
5563,2/22/2024,WENSCO-BELMONT                ,5760 SAFETY DRIVE             ,                              ,BELMONT        ,MI,49306,GRAND RAPIDS BRANCH           ,5760 SAFETY DR                ,ATTN: DENISE                  ,BELMONT        ,MI,49306,FWE1100000,          ,FDI4000,      ,BEST WAY  ,1,0," 2.0%,10 NET 60",0,0,0,TEXT              ,-PRICE EXPIRES 5/31/2024      ,   ,0,0,QUOTE                         ,40.89,0,40.89,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,                  ,                              ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,DELETED ITEM                  ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
5564,2/23/2024,GRAPHIC SOLUTIONS - TULSA     ,10110 EAST 55TH PLACE         ,                              ,TULSA          ,OK,74146,GRAPHIC SOLUTIONS GROUP       ,                              ,10910 E 55TH PL               ,TULSA          ,OK,74146,FGR1011000,          ,FDI4000,      ,BEST WAY  ,3,0,    NET   30   ,0,0,0,TEXT              ,DELETED ITEM                  ,   ,0,0,QUOTE                         ,791.65,0,791.65,E
