externalid,binnumber,location,Concat
I4D2,I4D2,Haughton,I4D2Haughton
I5A1,I5A1,Haughton,I5A1Haughton
I5A2,I5A2,Haughton,I5A2Haughton
I5B1,I5B1,Haughton,I5B1Haughton
I5B2,I5B2,Haughton,I5B2Haughton
I5C1,I5C1,Haughton,I5C1Haughton
I5C2,I5C2,Haughton,I5C2Haughton
I5D1,I5D1,Haughton,I5D1Haughton
I5D2,I5D2,Haughton,I5D2Haughton
I6A1,I6A1,Haughton,I6A1Haughton
I6A2,I6A2,Haughton,I6A2Haughton
I6B1,I6B1,Haughton,I6B1Haughton
I6B2,I6B2,Haughton,I6B2Haughton
I6C1,I6C1,Haughton,I6C1Haughton
I6C2,I6C2,Haughton,I6C2Haughton
I6D1,I6D1,Haughton,I6D1Haughton
I6D2,I6D2,Haughton,I6D2Haughton
I7A1,I7A1,Haughton,I7A1Haughton
I7A2,I7A2,Haughton,I7A2Haughton
I7B1,I7B1,Haughton,I7B1Haughton
I7B2,I7B2,Haughton,I7B2Haughton
I7C1,I7C1,Haughton,I7C1Haughton
I7C2,I7C2,Haughton,I7C2Haughton
I7D1,I7D1,Haughton,I7D1Haughton
I7D2,I7D2,Haughton,I7D2Haughton
L1A1,L1A1,Haughton,L1A1Haughton
L1A2,L1A2,Haughton,L1A2Haughton
L1B1,L1B1,Haughton,L1B1Haughton
L1B2,L1B2,Haughton,L1B2Haughton
L1C1,L1C1,Haughton,L1C1Haughton
L1C2,L1C2,Haughton,L1C2Haughton
L1D1,L1D1,Haughton,L1D1Haughton
L1D2,L1D2,Haughton,L1D2Haughton
L2A1,L2A1,Haughton,L2A1Haughton
L2A2,L2A2,Haughton,L2A2Haughton
L2B1,L2B1,Haughton,L2B1Haughton
L2B2,L2B2,Haughton,L2B2Haughton
L2C1,L2C1,Haughton,L2C1Haughton
L2C2,L2C2,Haughton,L2C2Haughton
L2D1,L2D1,Haughton,L2D1Haughton
L2D2,L2D2,Haughton,L2D2Haughton
L3A1,L3A1,Haughton,L3A1Haughton
L3A2,L3A2,Haughton,L3A2Haughton
L3B1,L3B1,Haughton,L3B1Haughton
L3B2,L3B2,Haughton,L3B2Haughton
L3C1,L3C1,Haughton,L3C1Haughton
L3C2,L3C2,Haughton,L3C2Haughton
L3D1,L3D1,Haughton,L3D1Haughton
L3D2,L3D2,Haughton,L3D2Haughton
L4A1,L4A1,Haughton,L4A1Haughton
L4A2,L4A2,Haughton,L4A2Haughton
L4B1,L4B1,Haughton,L4B1Haughton
L4B2,L4B2,Haughton,L4B2Haughton
L4C1,L4C1,Haughton,L4C1Haughton
L4C2,L4C2,Haughton,L4C2Haughton
L4D1,L4D1,Haughton,L4D1Haughton
L4D2,L4D2,Haughton,L4D2Haughton
L4E1,L4E1,Haughton,L4E1Haughton
L4E2,L4E2,Haughton,L4E2Haughton
L5A1,L5A1,Haughton,L5A1Haughton
L5A2,L5A2,Haughton,L5A2Haughton
L5B1,L5B1,Haughton,L5B1Haughton
L5B2,L5B2,Haughton,L5B2Haughton
L5C1,L5C1,Haughton,L5C1Haughton
L5C2,L5C2,Haughton,L5C2Haughton
L5D1,L5D1,Haughton,L5D1Haughton
L5D2,L5D2,Haughton,L5D2Haughton
L5E1,L5E1,Haughton,L5E1Haughton
L5E2,L5E2,Haughton,L5E2Haughton
L6A1,L6A1,Haughton,L6A1Haughton
L6A2,L6A2,Haughton,L6A2Haughton
L6B1,L6B1,Haughton,L6B1Haughton
L6B2,L6B2,Haughton,L6B2Haughton
