Type,tranid,entity,Vendor Internal Id,reference no,terms,Currency,exchangerate,duedate,postingperiod,subsidiary,memo,trandate,purchaseItemline_itemRef,purchaseItemline_quantity,purchaseItemLine_rate,usertotal,purchaseItemLine_location
Bill,1913052,AIV L.P.,2010,1913052,2,US Dollar,1.00,12/09/2022,Nov 2022,Sullivan Process Controls,,11/9/2022,Open AP Item,1,1764.00,1764.00,4
Bill,1913054,AIV L.P.,2010,1913054,2,US Dollar,1.00,12/09/2022,Nov 2022,Sullivan Process Controls,,11/9/2022,Open AP Item,1,1264.00,1264.00,4
Bill,1913421,AIV L.P.,2010,1913421,2,US Dollar,1.00,12/10/2022,Nov 2022,Sullivan Process Controls,,11/10/2022,Open AP Item,1,10426.00,10426.00,4
Bill,1919935,AIV L.P.,2010,1919935,2,US Dollar,1.00,01/18/2023,Dec 2022,Sullivan Process Controls,,12/19/2022,Open AP Item,1,19215.00,19215.00,4
Bill,sinv220085466,ALLREDI,2011,sinv220085466,2,US Dollar,1.00,12/03/2022,Nov 2022,Sullivan Process Controls,,11/3/2022,Open AP Item,1,1273.00,1273.00,3
Bill,2-2365530,ANN HARRIS BENNETT,2016,2-2365530,2,US Dollar,1.00,01/31/2023,Nov 2022,Sullivan Process Controls,,11/4/2022,Open AP Item,1,467.88,467.88,5
Bill,14178,ARK-LA-TEX PALLET SALES,2022,14178,2,US Dollar,1.00,01/27/2023,Dec 2022,Sullivan Process Controls,,12/28/2022,Open AP Item,1,95.00,95.00,3
Bill,2559884703,AT&T,2026,2559884703,2,US Dollar,1.00,01/10/2023,Dec 2022,Sullivan Process Controls,,12/11/2022,Open AP Item,1,844.41,844.41,3
Bill,287321471708X01012023,AT&T Mobility,2027,287321471708X01012023,21,US Dollar,1.00,01/18/2023,Dec 2022,Sullivan Process Controls,,12/23/2022,Open AP Item,1,695.01,695.01,3
Bill,7510078199,AXALTA  POWDER COATING,2033,7510078199,2,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/21/2022,Open AP Item,1,330.00,330.00,3
Bill,7510091404,AXALTA  POWDER COATING,2033,7510091404,2,US Dollar,1.00,01/26/2023,Dec 2022,Sullivan Process Controls,,12/27/2022,Open AP Item,1,330.00,330.00,3
Bill,S2956254.001,BPS SUPPLY GROUP.,2052,S2956254.001,2,US Dollar,1.00,12/08/2022,Nov 2022,Sullivan Process Controls,,11/8/2022,Open AP Item,1,7407.00,7407.00,3
Bill,S2979540.001,BPS SUPPLY GROUP.,2052,S2979540.001,2,US Dollar,1.00,01/11/2023,Dec 2022,Sullivan Process Controls,,12/12/2022,Open AP Item,1,7239.00,7239.00,4
Bill,S2984216.001,BPS SUPPLY GROUP.,2052,S2984216.001,2,US Dollar,1.00,01/11/2023,Dec 2022,Sullivan Process Controls,,12/12/2022,Open AP Item,1,2792.00,2792.00,5
Bill,12550360,Bridgefield Casualty Insurance Company,2055,12550360,21,US Dollar,1.00,01/12/2023,Dec 2022,Sullivan Process Controls,,12/22/2022,Open AP Item,1,1193.07,1193.07,6
Bill,S-101122,CADDO SIGNS LLC,2060,S-101122,2,US Dollar,1.00,11/10/2022,Nov 2022,Sullivan Process Controls,,11/10/2022,Open AP Item,1,910.00,910.00,3
Bill,S-51906,CADDO SIGNS LLC,2060,S-51906,2,US Dollar,1.00,11/30/2022,Nov 2022,Sullivan Process Controls,,11/30/2022,Open AP Item,1,289.41,289.41,3
Bill,BarStock,CAPITAL ONE,2064,351,21,US Dollar,1.00,12/29/2022,Dec 2022,Sullivan Process Controls,,12/29/2022,Open AP Item,1,7449.10,7449.10,3
Bill,JF,CAPITAL ONE,2064,JF,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,28118.50,28118.50,6
Bill,CW,CAPITAL ONE,2064,CW,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,14076.64,14076.64,3
Bill,BS,CAPITAL ONE,2064,BS,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,5674.52,5674.52,4
Bill,LR,CAPITAL ONE,2064,LR,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,1102.13,1102.13,5
Bill,FG,CAPITAL ONE,2064,FG,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,519.73,519.73,5
Bill,HR,CAPITAL ONE,2064,HR,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,405.00,405.00,4
Bill,LR,CAPITAL ONE,2064,LR,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,311.76,311.76,5
Bill,FG,CAPITAL ONE,2064,FG,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,291.37,291.37,5
Bill,JK,CAPITAL ONE,2064,JK,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,197.50,197.50,4
Bill,CC,CAPITAL ONE,2064,CC,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,137.41,137.41,4
Bill,HR,CAPITAL ONE,2064,HR,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,124.58,124.58,3
Bill,JK,CAPITAL ONE,2064,JK,21,US Dollar,1.00,01/20/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,123.16,123.16,5
Bill,629928,"CC GASKET & FASTENER, INC",2068,629928,2,US Dollar,1.00,12/04/2022,Nov 2022,Sullivan Process Controls,,11/4/2022,Open AP Item,1,525.75,525.75,4
Bill,631597,"CC GASKET & FASTENER, INC",2068,631597,2,US Dollar,1.00,12/21/2022,Nov 2022,Sullivan Process Controls,,11/21/2022,Open AP Item,1,128.00,128.00,3
Bill,631514,"CC GASKET & FASTENER, INC",2068,631514,2,US Dollar,1.00,12/29/2022,Nov 2022,Sullivan Process Controls,,11/29/2022,Open AP Item,1,64.68,64.68,5
Bill,6402093549-6-12,CENTERPOINT ENERGY,2069,6402093549-6-12,21,US Dollar,1.00,12/19/2022,Dec 2022,Sullivan Process Controls,,12/19/2022,Open AP Item,1,512.09,512.09,3
Bill,C37450,CHASE CONTROLS LP,2073,C37450,2,US Dollar,1.00,11/24/2022,Oct 2022,Sullivan Process Controls,,10/25/2022,Open AP Item,1,600.00,600.00,5
Bill,C37581,CHASE CONTROLS LP,2073,C37581,2,US Dollar,1.00,12/10/2022,Nov 2022,Sullivan Process Controls,,11/10/2022,Open AP Item,1,839.00,839.00,5
Bill,C37748,CHASE CONTROLS LP,2073,C37748,2,US Dollar,1.00,12/30/2022,Nov 2022,Sullivan Process Controls,,11/30/2022,Open AP Item,1,118.00,118.00,5
Bill,C37830,CHASE CONTROLS LP,2073,C37830,2,US Dollar,1.00,01/07/2023,Dec 2022,Sullivan Process Controls,,12/8/2022,Open AP Item,1,400.00,400.00,5
Bill,4135527862,CINTAS CORP,2076,4135527862,20,US Dollar,1.00,11/05/2022,Oct 2022,Sullivan Process Controls,,10/26/2022,Open AP Item,1,158.93,158.93,3
Bill,4136220242,CINTAS CORP,2076,4136220242,20,US Dollar,1.00,11/12/2022,Nov 2022,Sullivan Process Controls,,11/2/2022,Open AP Item,1,54.89,54.89,3
Bill,4136905653,CINTAS CORP,2076,4136905653,20,US Dollar,1.00,11/19/2022,Nov 2022,Sullivan Process Controls,,11/9/2022,Open AP Item,1,54.89,54.89,3
Bill,4137497682,CINTAS CORP,2076,4137497682,20,US Dollar,1.00,11/25/2022,Nov 2022,Sullivan Process Controls,,11/15/2022,Open AP Item,1,200.89,200.89,3
Bill,4138146194,CINTAS CORP,2076,4138146194,20,US Dollar,1.00,12/01/2022,Nov 2022,Sullivan Process Controls,,11/21/2022,Open AP Item,1,158.93,158.93,3
Bill,4138914061,CINTAS CORP,2076,4138914061,20,US Dollar,1.00,12/10/2022,Nov 2022,Sullivan Process Controls,,11/30/2022,Open AP Item,1,54.89,54.89,3
Bill,4139683225,CINTAS CORP,2076,4139683225,20,US Dollar,1.00,12/17/2022,Dec 2022,Sullivan Process Controls,,12/7/2022,Open AP Item,1,54.90,54.90,3
Bill,4140389477,CINTAS CORP,2076,4140389477,20,US Dollar,1.00,12/24/2022,Dec 2022,Sullivan Process Controls,,12/14/2022,Open AP Item,1,54.89,54.89,3
Bill,4141849236,CINTAS CORP,2076,4141849236,20,US Dollar,1.00,01/08/2023,Dec 2022,Sullivan Process Controls,,12/29/2022,Open AP Item,1,54.89,54.89,3
Bill,5133165045,CINTAS CORP (OH),2077,5133165045,2,US Dollar,1.00,12/15/2022,Nov 2022,Sullivan Process Controls,,11/15/2022,Open AP Item,1,55.49,55.49,4
Bill,9202530827,CINTAS CORP (OH),2077,9202530827,2,US Dollar,1.00,12/31/2022,Dec 2022,Sullivan Process Controls,,12/1/2022,Open AP Item,1,96.74,96.74,3
Bill,9202572749,CINTAS CORP (OH),2077,9202572749,2,US Dollar,1.00,12/31/2022,Dec 2022,Sullivan Process Controls,,12/1/2022,Open AP Item,1,96.34,96.34,4
Bill,5136886434,CINTAS CORP (OH),2077,5136886434,2,US Dollar,1.00,01/13/2023,Dec 2022,Sullivan Process Controls,,12/14/2022,Open AP Item,1,42.73,42.73,4
Bill,5138109837,CINTAS CORP (OH),2077,5138109837,2,US Dollar,1.00,01/21/2023,Dec 2022,Sullivan Process Controls,,12/22/2022,Open AP Item,1,547.36,547.36,5
Bill,9206109992,CINTAS CORP (OH),2077,9206109992,2,US Dollar,1.00,01/29/2023,Dec 2022,Sullivan Process Controls,,12/30/2022,Open AP Item,1,119.08,119.08,5
Bill,5100558435,CISCO SYSTEMS INC,2078,5100558435,2,US Dollar,1.00,01/13/2023,Dec 2022,Sullivan Process Controls,,12/14/2022,Open AP Item,1,102.84,102.84,6
Bill,ProcFeeNov,CITY OF HOUSTON WATER,2080,ProcFeeNov,2,US Dollar,1.00,12/07/2022,Nov 2022,Sullivan Process Controls,,11/16/2022,Open AP Item,1,0.50,0.50,5
Bill,ProcFeeDec.,CITY OF HOUSTON WATER,2080,ProcFeeDec.,2,US Dollar,1.00,12/14/2022,Dec 2022,Sullivan Process Controls,,12/14/2022,Open AP Item,1,0.50,0.50,5
Bill,620345101385-12,CITY OF HOUSTON WATER,2080,620345101385-12,2,US Dollar,1.00,01/06/2023,Dec 2022,Sullivan Process Controls,,12/14/2022,Open AP Item,1,217.53,217.53,5
Bill,504,CLB ELECTRICAL SYSTEMS LLC,2081,504,2,US Dollar,1.00,11/23/2022,Oct 2022,Sullivan Process Controls,,10/24/2022,Open AP Item,1,3000.00,3000.00,5
Bill,178316,CLEAN POWER SUPPLY,2082,178316,2,US Dollar,1.00,11/10/2022,Nov 2022,Sullivan Process Controls,,11/10/2022,Open AP Item,1,350.00,350.00,3
Bill,8777703321958533-11,COMCAST,2090,8777703321958533-11,20,US Dollar,1.00,12/11/2022,Nov 2022,Sullivan Process Controls,,11/21/2022,Open AP Item,1,313.81,313.81,5
Bill,8777703321958533-12,COMCAST,2090,8777703321958533-12,20,US Dollar,1.00,01/11/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,313.81,313.81,5
Bill,5205,CONVERGE DESIGN,2093,5205,2,US Dollar,1.00,12/31/2022,Dec 2022,Sullivan Process Controls,,12/1/2022,Open AP Item,1,356.50,356.50,3
Bill,INV0390832,CORROSION MATERIALS,2094,INV0390832,2,US Dollar,1.00,01/04/2023,Dec 2022,Sullivan Process Controls,,12/5/2022,Open AP Item,1,341.93,341.93,3
Bill,396752,CVS CONTROLS LTD.,2099,396752,2,US Dollar,1.00,11/30/2022,Oct 2022,Sullivan Process Controls,,10/31/2022,Open AP Item,1,7929.00,7929.00,3
Bill,396753,CVS CONTROLS LTD.,2099,396753,2,US Dollar,1.00,11/30/2022,Oct 2022,Sullivan Process Controls,,10/31/2022,Open AP Item,1,89.70,89.70,3
Bill,397004,CVS CONTROLS LTD.,2099,397004,2,US Dollar,1.00,12/03/2022,Nov 2022,Sullivan Process Controls,,11/3/2022,Open AP Item,1,1589.90,1589.90,3
Bill,397005,CVS CONTROLS LTD.,2099,397005,2,US Dollar,1.00,12/03/2022,Nov 2022,Sullivan Process Controls,,11/3/2022,Open AP Item,1,1421.60,1421.60,3
Bill,397006,CVS CONTROLS LTD.,2099,397006,2,US Dollar,1.00,12/03/2022,Nov 2022,Sullivan Process Controls,,11/3/2022,Open AP Item,1,1172.20,1172.20,3
Bill,397105,CVS CONTROLS LTD.,2099,397105,2,US Dollar,1.00,12/07/2022,Nov 2022,Sullivan Process Controls,,11/7/2022,Open AP Item,1,1945.20,1945.20,3
Bill,397621,CVS CONTROLS LTD.,2099,397621,2,US Dollar,1.00,12/16/2022,Nov 2022,Sullivan Process Controls,,11/16/2022,Open AP Item,1,412.65,412.65,3
Bill,397620,CVS CONTROLS LTD.,2099,397620,2,US Dollar,1.00,12/16/2022,Nov 2022,Sullivan Process Controls,,11/16/2022,Open AP Item,1,412.65,412.65,3
Bill,397992,CVS CONTROLS LTD.,2099,397992,2,US Dollar,1.00,12/23/2022,Nov 2022,Sullivan Process Controls,,11/23/2022,Open AP Item,1,1141.02,1141.02,3
Bill,001242-R-0008,DC ELITE LLC,2102,001242-R-0008,4,US Dollar,1.00,11/23/2022,Nov 2022,Sullivan Process Controls,,11/23/2022,Open AP Item,1,44.65,44.65,5
Bill,Dec2022,DC ELITE LLC,2102,Dec2022,4,US Dollar,1.00,12/23/2022,Dec 2022,Sullivan Process Controls,,12/23/2022,Open AP Item,1,44.65,44.65,5
Bill,S221445-4 A,DECA SYSTEMS,2104,S221445-4 A,2,US Dollar,1.00,12/09/2022,Nov 2022,Sullivan Process Controls,,11/9/2022,Open AP Item,1,616.33,616.33,3
Bill,S221445-4,DECA SYSTEMS,2104,S221445-4,2,US Dollar,1.00,12/14/2022,Nov 2022,Sullivan Process Controls,,11/14/2022,Open AP Item,1,233.71,233.71,3
Bill,S221673-5 A,DECA SYSTEMS,2104,S221673-5 A,2,US Dollar,1.00,01/29/2023,Dec 2022,Sullivan Process Controls,,12/30/2022,Open AP Item,1,944.60,944.60,3
Bill,TXKI000005111,DHL EXPRESS,2107,TXKI000005111,23,US Dollar,1.00,11/24/2022,Nov 2022,Sullivan Process Controls,,11/9/2022,Open AP Item,1,2132.15,2132.15,3
Bill,D18922862,DHL EXPRESS,2107,D18922862,23,US Dollar,1.00,11/24/2022,Nov 2022,Sullivan Process Controls,,11/17/2022,Open AP Item,1,3480.63,3480.63,3
Bill,D18923649,DHL EXPRESS,2107,D18923649,23,US Dollar,1.00,11/24/2022,Nov 2022,Sullivan Process Controls,,11/17/2022,Open AP Item,1,99.10,99.10,3
Bill,D18964668,DHL EXPRESS,2107,D18964668,23,US Dollar,1.00,11/29/2022,Nov 2022,Sullivan Process Controls,,11/22/2022,Open AP Item,1,213.92,213.92,3
Bill,TXKI000005125,DHL EXPRESS,2107,TXKI000005125,23,US Dollar,1.00,12/01/2022,Nov 2022,Sullivan Process Controls,,11/16/2022,Open AP Item,1,7325.56,7325.56,3
Bill,TXKI000005125,DHL EXPRESS,2107,TXKI000005125,23,US Dollar,1.00,12/01/2022,Nov 2022,Sullivan Process Controls,,11/16/2022,Open AP Item,1,4194.16,4194.16,5
Bill,TXKID00000153,DHL EXPRESS,2107,TXKID00000153,23,US Dollar,1.00,12/03/2022,Nov 2022,Sullivan Process Controls,,11/18/2022,Open AP Item,1,4397.50,4397.50,3
Bill,D19009116,DHL EXPRESS,2107,D19009116,23,US Dollar,1.00,12/06/2022,Nov 2022,Sullivan Process Controls,,11/29/2022,Open AP Item,1,3412.63,3412.63,5
Bill,D19011291,DHL EXPRESS,2107,D19011291,23,US Dollar,1.00,12/07/2022,Nov 2022,Sullivan Process Controls,,11/30/2022,Open AP Item,1,46.66,46.66,5
Bill,TXKI000005139,DHL EXPRESS,2107,TXKI000005139,23,US Dollar,1.00,12/08/2022,Nov 2022,Sullivan Process Controls,,11/23/2022,Open AP Item,1,1172.94,1172.94,3
Bill,TXKI000005156,DHL EXPRESS,2107,TXKI000005156,23,US Dollar,1.00,12/15/2022,Nov 2022,Sullivan Process Controls,,11/30/2022,Open AP Item,1,1607.31,1607.31,5
Bill,TXKI000005168,DHL EXPRESS,2107,TXKI000005168,23,US Dollar,1.00,12/22/2022,Dec 2022,Sullivan Process Controls,,12/7/2022,Open AP Item,1,361.15,361.15,3
Bill,D19104384,DHL EXPRESS,2107,D19104384,23,US Dollar,1.00,12/22/2022,Dec 2022,Sullivan Process Controls,,12/15/2022,Open AP Item,1,46.66,46.66,5
Bill,D19111248,DHL EXPRESS,2107,D19111248,23,US Dollar,1.00,12/23/2022,Dec 2022,Sullivan Process Controls,,12/16/2022,Open AP Item,1,3428.93,3428.93,3
Bill,TXKI000005174,DHL EXPRESS,2107,TXKI000005174,23,US Dollar,1.00,12/29/2022,Dec 2022,Sullivan Process Controls,,12/14/2022,Open AP Item,1,2596.29,2596.29,3
Bill,D19167097,DHL EXPRESS,2107,D19167097,23,US Dollar,1.00,12/31/2022,Dec 2022,Sullivan Process Controls,,12/24/2022,Open AP Item,1,86.66,86.66,3
Bill,D19183328,DHL EXPRESS,2107,D19183328,23,US Dollar,1.00,01/02/2023,Dec 2022,Sullivan Process Controls,,12/26/2022,Open AP Item,1,139.90,139.90,3
Bill,D19189312,DHL EXPRESS,2107,D19189312,23,US Dollar,1.00,01/04/2023,Dec 2022,Sullivan Process Controls,,12/31/2022,Open AP Item,1,3428.93,3428.93,3
Bill,TXKI000005184,DHL EXPRESS,2107,TXKI000005184,23,US Dollar,1.00,01/05/2023,Dec 2022,Sullivan Process Controls,,12/21/2022,Open AP Item,1,7328.24,7328.24,3
