Item Name/Number,Display Name/Code,Primary Units Type Internal Id,Primary Units Type,Sub Unit Internal Id ,Description,Location,PRODUCTION & SPECIAL INSTRUCTIONS COMMENTS,Track Landed Cost,Costing Method,Cost Category,Use Bin,Base Price,COGS Account,Asset Account,Income Account,WIP Account,Scrap Account,Tax Schedule,Ink,Watermark,Status Notes
192,"Die Cut Part PE face shields 9-7/16"" x 4-3/16""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - PE face shields - 9-7/16"" x 4-3/16""",Strouse-HQ,Use heat on liner to help film adhere. ,TRUE,Average,Default Cost Category,TRUE,258.75,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
194,"Die Cut Label Silver foil disks on 3"" cores 2-1/2""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Label - Silver foil disks on 3"" cores - 2-1/2""",Strouse-HQ,"Attached to core with any scrap adhesive transfer.
Cores are customer supplied.  If they are not 3"" wide then center cores.",TRUE,Average,Default Cost Category,TRUE,14.39,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
286,"Die Cut Label White Thermal Transfer 6"" x 4""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Label - White Thermal Transfer - 6"" x 4""",Strouse-HQ,Wind rolls as loose as possible,TRUE,Average,Default Cost Category,TRUE,21.23,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
519,"Core Liner, Two color with the Strouse Logo and ""The Strouse Corporation"" 3-15/16""",7,Length Units,25,"Core Liner, - Two color with the Strouse Logo and ""The Strouse Corporation"" - 3-15/16""",Strouse-HQ,"Blue Match = Environmental Film III Blue - FM32E20015
Green Match = Environmental Film III Green - F3S6E20008
Splice paper with brown flatback papertape OR masking tape. No film tape. can use 3M 2515, 2517, Intertape 539 or other similar tape.",TRUE,Average,Default Cost Category,TRUE,0,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: Blue Match
  Ink Type: Water
  Anilox: 500
  Print Cylinder: 76
  Vendor: 

Ink 2
  Color: Green Match
  Ink Type: Water
  Anilox: 500
  Print Cylinder: 76
  Vendor: ",9/28/2021 - Skip - Need to use Spectape or something similar for splices on this job. Yazoo is having trouble with our splices. ,9/28/2021 - Skip - Need to use Spectape or something similar for splices on this job. Yazoo is having trouble with our splices. 
1226,"Die Cut Label White Thermal Transfer labels 2-1/2"" x 3/4""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Label - White Thermal Transfer labels - 2-1/2"" x 3/4""",Strouse-HQ,Wind rolls as loose as possible,TRUE,Average,Default Cost Category,TRUE,6.95,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
1305,"Butt Cut Label White/Blue ""IBM"" 200mm x 200mm",5,Unit-Base M (Use for Finished Goods),7,"Butt Cut Label - White/Blue ""IBM"" - 200mm x 200mm",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,178.87,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: PMS 285
  Ink Type: Water
  Anilox: 200
  Print Cylinder: 64
  Vendor: ","4/13/2022 Per Calvin, new plate required. Check distortion.","4/13/2022 Per Calvin, new plate required. Check distortion."
1735,"Die Cut Label White Litho Core Label 15/16"" x 11/16""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Label - White Litho Core Label - 15/16"" x 11/16""",Strouse-HQ,Wind rolls as loose as possible!!!,TRUE,Average,Default Cost Category,TRUE,2.16,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
1771,"Fabricated Part Internal Rectangle Area W/ Tab 0.5895"" x 0.402""",5,Unit-Base M (Use for Finished Goods),7,"Fabricated Part - Internal Rectangle Area W/ Tab - 0.5895"" x 0.402""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,121.78,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,See Eric After Signoff,"Skip - 3/21/2022 - Follow up to make sure we are trimming the ends of the product when ceve slitting. 


EDD - 2/5/2020 - Needs RAM Scope or Keyence Routine
RB - 10/30/2019 - Delta dies ordered and JT updated.  
Skip - 3/20/2019 - Rich sent an email to Mark M. and Phil suggesting a new run method and re-estimating the job so we do not continue to struggle. Checked Order notification and Pre press meeting. "
1812,"Butt Cut Part Colored PVC or Paper Tabs 0.75"" x 2""",5,Unit-Base M (Use for Finished Goods),7,"Butt Cut Part - Colored PVC or Paper Tabs - 0.75"" x 2""",Strouse-HQ,FOR INTERNAL USE ONLY,TRUE,Average,Default Cost Category,TRUE,,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
1831,"Tape CSM 5 mil Teflon perfed at 12"" intervals 12"" x 6""",7,Length Units,25,"Tape - CSM 5 mil Teflon perfed at 12"" intervals - 12"" x 6""",Strouse-HQ,"Take a sample approx. 12"" in length from the beginning of each raw material roll prior to converting as well as the required sample from each finished roll post converting.",TRUE,Average,Default Cost Category,TRUE,401.81,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,SEE SPECIAL COMMENTS,10/18/2021 - RB - Made obsolete.  This comment was in the watermark.  SEE SPECIAL COMMENTS
2190,Die Cut Label White Litho Core Label 40mm x 12mm,5,Unit-Base M (Use for Finished Goods),7,Die Cut Label - White Litho Core Label - 40mm x 12mm,Strouse-HQ,Wind rolls as loose as possible!!!,TRUE,Average,Default Cost Category,TRUE,,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
2329,"Fabricated Part Adh. Area with Tab 0.500"" x 0.82""",5,Unit-Base M (Use for Finished Goods),7,"Fabricated Part - Adh. Area with Tab - 0.500"" x 0.82""",Strouse-HQ,Do Not Produce Overruns.,TRUE,Average,Default Cost Category,TRUE,2871.207,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
2347,Fabricated Tape ST-894 with internal die cuts 21mm x 10mm,7,Length Units,25,Fabricated Tape - ST-894 with internal die cuts - 21mm x 10mm,Strouse-HQ,A Ram Scope Routine has been created for this part. Instructions have been added to JJ to be used when setting up to run Routine.,TRUE,Average,Default Cost Category,TRUE,440.98,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,Obsoleted due to age since last order
2563,"Label White Matte Litho printed ""Elite Fasteners"", perfed between 2.75"" x 2.75""",5,Unit-Base M (Use for Finished Goods),7,"Label - White Matte Litho printed ""Elite Fasteners"", perfed between - 2.75"" x 2.75""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,50,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: Black
  Ink Type: Water
  Anilox: 
  Print Cylinder: 69
  Vendor: ",,
2693,"Butt Cut Tape Silicone Tape Tabs 0.5"" x 2""",5,Unit-Base M (Use for Finished Goods),7,"Butt Cut Tape - Silicone Tape Tabs - 0.5"" x 2""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
2737,"Die Cut Part 25A29C with White tab 1"" x 1.25""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - 25A29C with White tab - 1"" x 1.25""",Strouse-HQ,"Order 25A29C @ 2000ft lengths  (LOG Form)
Order 55# liner pre-slit @ 5000ft lengths (if order size warrants it, otherwise slit here to lengths as long as can be)",TRUE,Average,Default Cost Category,TRUE,8.58,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,"11/29/2018 - Skip - The last retool seamed to have made a difference. The tool appears to be cutting fine without the use of a step up anvil. 
10/12/2018 - RB - Checked pre-press meeting so that Skip and RB would know when it went on press.  No need for a ""real"" pre-press meeting. The tool AB 942, should have been tooled to cut deeper. See email from Skip to Rich. 

6/18/2018 - Skip - Installed this die into the press after a retool and still had to use a 1/2 mil step-up to get it to cut correctly. When this order is done, we will send the tool back to Wilson to go a 1/2 mil deeper than the last time. 

10/31/2017 - Skip - Ran this job at the end of November and had issues cutting. Had to add a half mil step up anvil but still had a few parts going up with the matrix. We are sending the die back for retool and to have it tooled for hand application. Next run need to confirm if it made any difference. Need also to look at the die under the scope before it goes on press. Might be a good idea to be there when the die goes in to observe how it is being handled.  

1/4/2017 - Skip - Need to confirm the new die design / blade angle cuts better and does not leave hanging parts. "
2749,"Fabricated Part Adh. Preform 500"" x 1.150""",5,Unit-Base M (Use for Finished Goods),7,"Fabricated Part - Adh. Preform - 500"" x 1.150""",Strouse-HQ,"Use white UPVC to remove adhesive.  This will allow you to see if any tape is left in the part.

Do Not Produce Overruns.",TRUE,Average,Default Cost Category,TRUE,100,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
2886,"Fabricated Part Adh. Preform 500"" x 1.244""",5,Unit-Base M (Use for Finished Goods),7,"Fabricated Part - Adh. Preform - 500"" x 1.244""",Strouse-HQ,Do Not Produce Overruns.,TRUE,Average,Default Cost Category,TRUE,620.88,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
2926,"Die Cut Part Black Lexan with 3M LSE Adh. one side 1"" Dia",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - Black Lexan with 3M LSE Adh. one side - 1"" Dia",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,181.25,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
3036,Fabricated Tape ST-894 with internal die cuts 48 x 30,7,Length Units,25,Fabricated Tape - ST-894 with internal die cuts  - 48 x 30,Strouse-HQ,Cannot overship.   Under ship 10% OK.,TRUE,Average,Default Cost Category,TRUE,296.91,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,"10/5/2022 BH discuss who will be running this order and go over last run and expectations for UPH. Line up any assistance from Kurt, Frank or Doug Francis, if needed."
3053,"Die Cut Part PTFE Supplied 3 across 1/4"" Dia",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - PTFE Supplied 3 across - 1/4"" Dia",Strouse-HQ,"To determine what side of the 4935 is the release side, you will need to stick the PTFE to both sides and try removing them at the same time. Which ever one comes off first will indicate the easy release side. ",TRUE,Average,Default Cost Category,TRUE,36.13,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
3082,"Sheeted Part 90# C2S tabs with 1/2"" RED STRIPE 1"" x 4""",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - 90# C2S tabs with 1/2"" RED STRIPE - 1"" x 4""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,76,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,3/14/2019 - RB - New parts numbers coming.
3083,"Sheeted Part 90# C2S tabs with 1/2"" GREEN STRIPE 1"" x 4""",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - 90# C2S tabs with 1/2"" GREEN STRIPE - 1"" x 4""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,75,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,3/14/2019 - RB - New parts numbers coming.
3114,"Sheeted Label 3M 7323 Silver PET 27 pcs/sheet 8.5"" x 6.25""",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Label - 3M 7323 Silver PET 27 pcs/sheet - 8.5"" x 6.25""",Strouse-HQ,Packager to be at press and packing while running.,TRUE,Average,Default Cost Category,TRUE,631.94,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,Notify Eric Dubs after sign off,"EDD - 2/21/2020 – Inspection Routine Needs Verified
3/26/2020 - RB - Determined that having a packager at press is best practice to prevent additional defects and fall out.  Added note to that affect.

"
3136,Fabricated Tape ST-741 with internal die cuts 15 X 20,7,Length Units,25,Fabricated Tape - ST-741 with internal die cuts  - 15 X 20,Strouse-HQ,"Use DA 241 as primary score. A Ram Scope Routine has been created for this part. Instructions have been added to JJ to be used when setting up to run Routine.
 DOUBLE CHECK T-10 FOR SILICONE SIDE!!",TRUE,Average,Default Cost Category,TRUE,440,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
3164,"Die Cut Tape 3M 4950, one side deadened 9.52mm OD x 3.56mm ID",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Tape - 3M 4950, one side deadened - 9.52mm OD x 3.56mm ID",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,1159.62,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,10/31/2022 - RB - Needs to be re-estimated for laser and JT updated per new laser estimate.
3282,Die Cut Label White Vinyl Printed Orange & Black 46mm x 109mm,5,Unit-Base M (Use for Finished Goods),7,Die Cut Label - White Vinyl Printed Orange & Black - 46mm x 109mm,Strouse-HQ,"Use black with glycol - if need to mix: 1 oz glycol to 32 oz black.
Keep black ink thinned with extender.",TRUE,Average,Default Cost Category,TRUE,80,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: Black
  Ink Type: Water
  Anilox: 
  Print Cylinder: 96
  Vendor: 

Ink 2
  Color: Orange 151
  Ink Type: Water
  Anilox: 
  Print Cylinder: 96
  Vendor: ",,
3345,"Fabricated Part UHMW with 3M VHB 1.625"" x 1.625""",3,"Each (Use for Boxes, Bags, Cores, Cases)",4,"Fabricated Part - UHMW with 3M VHB - 1.625"" x 1.625""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,16.702,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
3356,"CSM Sheeted Infrared 3/4"" x 3/4""",3,"Each (Use for Boxes, Bags, Cores, Cases)",20,"CSM - Sheeted Infrared - 3/4"" x 3/4""",Strouse-HQ,"Run all material supplied.
Backup tool CA 1030 has nick in blade, marked - work around this nick. MS
Run as many across as possible.  Remember to adjust footage accordingly.
1 across = 300ft      3 across = 100 ft
2 across = 150 ft     4 across = 75 ft",TRUE,Average,Default Cost Category,TRUE,66.9795,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,"4/30/2019 - RB - Have run three times since note was added.  Removing the See Engineering stamp.
10/25/2018 - RB - QC to meet with operator at time on press.
9/7/2018 - RB - CAR for cut quality from last run.  Need to meet with quality and production."
3479,Butt Cut Tape d/c Case Insulation Tape Tabbed 14mm x 18.5mm,5,Unit-Base M (Use for Finished Goods),7,Butt Cut Tape - d/c Case Insulation Tape Tabbed - 14mm x 18.5mm,Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,13.14,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
3516,"Fabricated Part UHMW with 3M VHB 36.25"" x 0.875"" with 0.125"" corners",5,Unit-Base M (Use for Finished Goods),7,"Fabricated Part - UHMW with 3M VHB - 36.25"" x 0.875"" with 0.125"" corners",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,25559.09,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
3524,"Fabricated Part 1/16""T EPDM with 3M VHB 0.625"" O.D with 0.218"" I.D",5,Unit-Base M (Use for Finished Goods),7,"Fabricated Part - 1/16""T EPDM with 3M VHB - 0.625"" O.D with 0.218"" I.D",Strouse-HQ,MF 8/21/13 (THE FLASHCUT NEST'S 258 PARTS PER SQ. FT.),TRUE,Average,Default Cost Category,TRUE,850.45,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: 94 PRIMER
  Ink Type: 
  Anilox: 
  Print Cylinder: 
  Vendor: ",,
3538,"Die Cut Mask 3M 2750 on 78# Liner 12"" X 13""",3,"Each (Use for Boxes, Bags, Cores, Cases)",4,"Die Cut Mask - 3M 2750 on 78# Liner - 12"" X 13""",Strouse-HQ,"   755          HV-CA-015            1 per kit
                  HV-CA-020            1
                  HV-CA-021            1
                  HV-FR-006             1
                  HV-FR-007             1
                  HV-RE-015            1
                  HV-RE-016            1
                
 






     
",TRUE,Average,Default Cost Category,TRUE,,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
3551,Die Cut Label 3M 7818 25mm X 50mm,5,Unit-Base M (Use for Finished Goods),7,Die Cut Label - 3M 7818 - 25mm X 50mm,Strouse-HQ,"NOTE: Same tool used for JJ 03552,
 2 shapes on same mag plate

UNPRINTED version of JJ 03526",TRUE,Average,Default Cost Category,TRUE,30.01,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,Obsoleted due to age since last order
3614,"Sheeted Part CSM 0.020 T Clear PVC 20"" x 20""",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - CSM 0.020 T Clear PVC - 20"" x 20""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,211.61,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
3664,"Die Cut Foam 3M 4052 0.33"" X 1.145"" incl. tab",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Foam - 3M 4052 - 0.33"" X 1.145"" incl. tab",Strouse-HQ,"

  
",TRUE,Average,Default Cost Category,TRUE,123.7232,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,1/27/2022 BH Consider ordering a engraved scorer for tab as the adjustable caused a lot of issues and wasted time on WO line 111364
3683,"Fabricated Part 1/16""T EPDM with 3M VHB 0.750"" O.D with 0.330"" I.D",5,Unit-Base M (Use for Finished Goods),7,"Fabricated Part - 1/16""T EPDM with 3M VHB - 0.750"" O.D with 0.330"" I.D",Strouse-HQ,MF 8/20/13 (THE FLASHCUT NEST'S 188 PARTS PER SQ. FT.),TRUE,Average,Default Cost Category,TRUE,790.67,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: 94 PRIMER
  Ink Type: 
  Anilox: 
  Print Cylinder: 
  Vendor: ",,
3771,"Die Cut foam End Foam 1.9375"" x 0.5424""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut foam - End Foam - 1.9375"" x 0.5424""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,400,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,See Eric After Signoff,"Skip - 7/13/2020 - We had trouble with an oversized condition on this job.  Need to confirm tolerances were adjusted for this job. See email chain labeled Johnson Medtech JJ# 7789 WO# 103359.

EDD - 2/5/2020 - Needs RAM Scope or Keyence Routine"
4115,"Foam Squares 3M 4492, supplied 4 to a pad 1"" X 1""",5,Unit-Base M (Use for Finished Goods),7,"Foam Squares - 3M 4492, supplied 4 to a pad - 1"" X 1""",Strouse-HQ,Use AB 745 as primary Scorer and AF 7 as backup,TRUE,Average,Default Cost Category,TRUE,21.86,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
4200,"Sheeted Part 3M 4492 white w/ extended liner both sides 1/2 "" X 4""",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - 3M 4492 white w/ extended liner both sides - 1/2 "" X 4""",Strouse-HQ,"SA 61 may also be used, but CA 535 is preferred.",TRUE,Average,Default Cost Category,TRUE,40.75,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
4220,"Fabricated Part UHMW (White) with 3M VHB 3/'8"" Dia",5,Unit-Base M (Use for Finished Goods),7,"Fabricated Part - UHMW (White) with 3M VHB - 3/'8"" Dia",Strouse-HQ,MUST USE TREATED UHMW,TRUE,Average,Default Cost Category,TRUE,578.667,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
4276,"Fabricated Tape 10 x 15 strip, ST-741 with internal die cuts 8.0"" x 3.7""",7,Length Units,25,"Fabricated Tape - 10 x 15 strip, ST-741 with internal die cuts - 8.0"" x 3.7""",Strouse-HQ,Use DA 241 as primary score,TRUE,Average,Default Cost Category,TRUE,4764.39,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,Eric needs to create inspection routine.,
4398,"Die Cut Label Thermal transfer printable, 3M FP022102 3"" x 3""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Label - Thermal transfer printable, 3M FP022102 - 3"" x 3""",Strouse-HQ,May need to use air rewinds to get loose enough rolls.,TRUE,Average,Default Cost Category,TRUE,80.38,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
4467,"Die Cut Part PET blocker, 3 mil PET with 3M 9832 2.01"" x 1.69""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - PET blocker, 3 mil PET with 3M 9832 - 2.01"" x 1.69""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,63.16,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,See Eric After Signoff,EDD - 2/5/2020 - Needs RAM Scope or Keyence Routine
4494,"Butt Cut Part Dead area 0.25"" wide in center of part 0.125"" x 0.625""",5,Unit-Base M (Use for Finished Goods),7,"Butt Cut Part - Dead area 0.25"" wide in center of part - 0.125"" x 0.625""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,20.03,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
4538,"Die Cut Part 10 mil tyvek with Adh., printed in red 0.5"" x 3.9370""
",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - 10 mil tyvek with Adh., printed in red - 0.5"" x 3.9370""
",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,22.23,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: RED 199
  Ink Type: Water
  Anilox: 
  Print Cylinder: 50T
  Vendor: 

Ink 2
  Color: Red 199 UV
  Ink Type: UV
  Anilox: 500
  Print Cylinder: 50T
  Vendor: ",,
4636,"Die Cut Part 0.01"" thick mylar with 1"" wide Adh. strip 2.5"" x 2.75""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - 0.01"" thick mylar with 1"" wide Adh. strip - 2.5"" x 2.75""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,66.81,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
4689,"Label White PP, perfed every 3.125"" 3"" x 5""",5,Unit-Base M (Use for Finished Goods),7,"Label - White PP, perfed every 3.125"" - 3"" x 5""",Strouse-HQ,NOTE: PJ9502 iis the same as PJ9501,TRUE,Average,Default Cost Category,TRUE,32.05,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
4690,"Die Cut Part foil tape, 3M 1345 6.93"" x 3.33""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - foil tape, 3M 1345 - 6.93"" x 3.33""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,3500,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
4730,Die Cut Part Wiper Motor masking - Hi Temperature masking tape with 6 internal die cut holes 40mm x 35mm,5,Unit-Base M (Use for Finished Goods),7,Die Cut Part - Wiper Motor masking - Hi Temperature masking tape with 6 internal die cut holes - 40mm x 35mm,Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,185.5,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,See Eric After Signoff,EDD - 2/5/2020 - Needs RAM Scope or Keyence Routine
4735,"Fabricated Tape 17 x 15 Strip, ST-741, with internal die cuts and tractor feed 8.0"" x 3.7""",7,Length Units,25,"Fabricated Tape - 17 x 15 Strip, ST-741, with internal die cuts and tractor feed - 8.0"" x 3.7""",Strouse-HQ,Use DA 241 as primary score.,TRUE,Average,Default Cost Category,TRUE,389.98,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,Eric needs to create inspection routine,
4884,"Die Cut Part Die cut 5mil Protective Film 2.73"" x 1.48""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - Die cut 5mil Protective Film - 2.73"" x 1.48""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,130,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
4905,"Die Cut Mask Front indicator Mask with tab, Part# 2519454 5.687"" x 5.312""",3,"Each (Use for Boxes, Bags, Cores, Cases)",4,"Die Cut Mask - Front indicator Mask with tab, Part# 2519454 - 5.687"" x 5.312""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,0.3088,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
4907,"Die Cut Mask
 44X, Battery Box B Mask, no tab. Part # 2527094 24.30"" x 16.68""",3,"Each (Use for Boxes, Bags, Cores, Cases)",4,"Die Cut Mask
 - 44X, Battery Box B Mask, no tab. Part # 2527094 - 24.30"" x 16.68""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,2.5142,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,11/22/2017 - Skip - Marked to See Engineering to follow up to see how this job performs by doing the laminating on Pace instead of the Azco. 
