Item Name/Number,Display Name/Code,Primary Units Type Internal Id,Primary Units Type,Sub Unit Internal Id ,Description,Location,PRODUCTION & SPECIAL INSTRUCTIONS COMMENTS,Track Landed Cost,Costing Method,Cost Category,Use Bin,Base Price,COGS Account,Asset Account,Income Account,WIP Account,Scrap Account,Tax Schedule,Ink,Watermark,Status Notes
9090,"Sheeted Part 3M SJ3560 0.5"" x 1""",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - 3M SJ3560 - 0.5"" x 1""",Strouse-HQ,"DO NOT USE FOAM IN DIE, Run faster than idle or parts might stick in die, speed helps.",TRUE,Average,Default Cost Category,TRUE,67.872,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9091,"Die Cut Part Thinstick Antenna Calypso, 7007596 34.85mm x 21.65mm",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Part - Thinstick Antenna Calypso, 7007596 - 34.85mm x 21.65mm",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,389.886,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9092,Die Cut Part Foam LCD Conn Retainer BTM Housing Calypso 10mm x 4mm,5,Unit-Base M (Use for Finished Goods),7,Die Cut Part - Foam LCD Conn Retainer BTM Housing Calypso - 10mm x 4mm,Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,415.2225,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9093,"Sheeted Part 508 mm (20"") Wheel Mask 508mm Dia",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - 508 mm (20"") Wheel Mask - 508mm Dia",Strouse-HQ,"Do not tape boxes shut.
Keep Finished Product Separated by Raw Material Lot Number",TRUE,Average,Default Cost Category,TRUE,280.15,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9094,"Die Cut Label Thermal Transfer 4"" x 2.5""",5,Unit-Base M (Use for Finished Goods),7,"Die Cut Label - Thermal Transfer - 4"" x 2.5""",Strouse-HQ,Wind rolls as loose as possible!!!,TRUE,Average,Default Cost Category,TRUE,33.95,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9096,"Sheeted Part Large, Gray filter media 8"" x 6.25""",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - Large, Gray filter media - 8"" x 6.25""",Strouse-HQ,Back light web during printing step so you can better inspect print for defects and positioning.,TRUE,Average,Default Cost Category,TRUE,1462.823,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: Opaque White
  Ink Type: Water
  Anilox: 440
  Print Cylinder: 65
  Vendor: ",,
9098,"Sheeted Part Small, Gray filter media 7"" x 5.75""",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - Small, Gray filter media - 7"" x 5.75""",Strouse-HQ,Back light web during printing step so you can better inspect print for defects and positioning.,TRUE,Average,Default Cost Category,TRUE,1382.7485,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: Opaque White
  Ink Type: Water
  Anilox: 440
  Print Cylinder: 114
  Vendor: ",,
9100,"Sheeted Part Blue VCI paper 5"" x 1""",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - Blue VCI paper - 5"" x 1""",Strouse-HQ,Multiple shades of blue VCI Sheeting are allowed.,TRUE,Average,Default Cost Category,TRUE,33,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9102,"Sheeted Part Dressing 8"" x 8""",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - Dressing - 8"" x 8""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,1676.51,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: PMS 296
  Ink Type: LED
  Anilox: 200
  Print Cylinder: 132
  Vendor: ",Trial - See Engineering,"TG 6-20-22 - Foam parts will need 10"" cores, Take off deadener on low tack carrier. "
9103,"Sheeted Part Dressing 8.5"" x 4.5""",5,Unit-Base M (Use for Finished Goods),7,"Sheeted Part - Dressing - 8.5"" x 4.5""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,3175.3,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,"Ink 1
  Color: PMS 296
  Ink Type: LED
  Anilox: 200
  Print Cylinder: 91
  Vendor: ",Trial - See Engineering,9/29/2021 - RB - First run successful but need meeting to determine changes to process etc.
9111,Die Cut Part d/c Adh. Patch with Tab 28mm x 28mm,5,Unit-Base M (Use for Finished Goods),7,Die Cut Part - d/c Adh. Patch with Tab - 28mm x 28mm,Strouse-HQ,Rewind direction is not critical.  We will ship both directions.,TRUE,Average,Default Cost Category,TRUE,222.93,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9112,"Sheeted Part Face Shield w/PU strap, 25/Case 10"" x 8""",3,"Each (Use for Boxes, Bags, Cores, Cases)",23,"Sheeted Part - Face Shield w/PU strap, 25/Case - 10"" x 8""",Strouse-HQ,EACH = 1 case of 25 shields,TRUE,Average,Default Cost Category,TRUE,0,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9113,Die Cut Part Push Tab Various,3,"Each (Use for Boxes, Bags, Cores, Cases)",4,Die Cut Part - Push Tab - Various,Strouse-HQ,Concept Trial,TRUE,Average,Default Cost Category,TRUE,7993,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,Trial - See Engineering,
9114,"Sheeted Part Face Shield w/PU strap, 50/Case 10"" x 8""",3,"Each (Use for Boxes, Bags, Cores, Cases)",23,"Sheeted Part - Face Shield w/PU strap, 50/Case - 10"" x 8""",Strouse-HQ,EACH = 1 case of 50 shields,TRUE,Average,Default Cost Category,TRUE,0,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9115,"Sheeted Part Face Shield w/PU strap, 100/Case 10"" x 8""",3,"Each (Use for Boxes, Bags, Cores, Cases)",23,"Sheeted Part - Face Shield w/PU strap, 100/Case - 10"" x 8""",Strouse-HQ,EACH = 1 case of 100 shields,TRUE,Average,Default Cost Category,TRUE,0,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9117,Die Cut Part Tesa 62934 19.83mm x 26.42mm,3,"Each (Use for Boxes, Bags, Cores, Cases)",4,Die Cut Part - Tesa 62934 - 19.83mm x 26.42mm,Strouse-HQ,Rolls can have up to 2 missing parts in a row.,TRUE,Average,Default Cost Category,TRUE,0.12474,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9118,Die Cut Part Tesa 62934 19.83mm x 26.42mm,3,"Each (Use for Boxes, Bags, Cores, Cases)",4,Die Cut Part - Tesa 62934 - 19.83mm x 26.42mm,Strouse-HQ,Rolls can have up to 2 missing parts in a row.,TRUE,Average,Default Cost Category,TRUE,0.12474,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9119,Die Cut Part 3M 4492B 19.83mm x 26.42mm,3,"Each (Use for Boxes, Bags, Cores, Cases)",4,Die Cut Part - 3M 4492B - 19.83mm x 26.42mm,Strouse-HQ,Rolls can have up to 2 missing parts in a row.,TRUE,Average,Default Cost Category,TRUE,0.0758,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9120,Die Cut Part 3M 4492B 19.83mm x 26.42mm,3,"Each (Use for Boxes, Bags, Cores, Cases)",4,Die Cut Part - 3M 4492B - 19.83mm x 26.42mm,Strouse-HQ,Rolls can have up to 2 missing parts in a row.,TRUE,Average,Default Cost Category,TRUE,0.0758,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9121,Die Cut Part Tesa 62934 19.8mm x 27.5mm,3,"Each (Use for Boxes, Bags, Cores, Cases)",4,Die Cut Part - Tesa 62934 - 19.8mm x 27.5mm,Strouse-HQ,Rolls can have up to 2 missing parts in a row.,TRUE,Average,Default Cost Category,TRUE,0.0858,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9122,Die Cut Part Tesa 62934 19.8mm x 27.5mm,3,"Each (Use for Boxes, Bags, Cores, Cases)",4,Die Cut Part - Tesa 62934 - 19.8mm x 27.5mm,Strouse-HQ,Rolls can have up to 2 missing parts in a row.,TRUE,Average,Default Cost Category,TRUE,0.0858,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
9123,"Sheeted Part 3M 1524 18"" x 24""",3,"Each (Use for Boxes, Bags, Cores, Cases)",4,"Sheeted Part - 3M 1524 - 18"" x 24""",Strouse-HQ,,TRUE,Average,Default Cost Category,TRUE,5.6345,50000 Cost of Goods Sold,300000 Sales,13100 Inventory Asset,99991 WIP Account,9999 Scrap Account,Non-Taxable,,,
