Reference #,Adjustment Account,Date,Posting Period,Memo,Item Name Number,Vlookup,ID,Item Display Name,Location,Units,Adjust Qty By,Est. Unit Cost,Subtotal,Memo,Internal ID
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CON-045,1,169,,BM Nagano,,156,0.443,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-DRIV-00F,1,210,,BM Nagano,,158,4.2,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-035,1,438,,BM Nagano,,161,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-02E,1,566,,BM Nagano,,164,0.0011,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-00C,1,422,,BM Nagano,,167,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-003,1,249,,BM Nagano,,168,0.08,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-0DA,1,627,,BM Nagano,,170,0.0013,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CAP-047,1,81,,BM Nagano,,171,0.0008,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-FUS-007,1,244,,BM Nagano,,172,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CAP-013,1,873,,BM Nagano,,174,0.8235,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-DIO-004,1,184,,BM Nagano,,177,0.065,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-015,1,429,,BM Nagano,,177,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-SENS-001,1,679,,BM Nagano,,198,0.19,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CON-04A,1,174,,BM Nagano,,200,0.002,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-02C,1,1189,,BM Nagano,,200,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-009,1,421,,BM Nagano,,203,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-DIO-003,1,183,,BM Nagano,,208,0.055,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-00E,1,260,,BM Nagano,,211,0.0135,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-LED-002,1,335,,BM Nagano,,222,0.07,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-SOM-004,1,690,,BM Nagano,,227,40,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-038,1,441,,BM Nagano,,235.91002,0.15,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-DIO-007,1,187,,BM Nagano,,242,0.053,,,4774
